Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
ADM,Archer Daniels Midland,28443568000,14.1,3.68,1379000000,0.9,1.44,2.81%
BF.B,Brown Forman Inc Cl B,34812096000,42.76,1.74,827000000,0.72,0.7,0.96%
CAG,Conagra Brands Inc,18343852000,14.9,2.55,840100000,0.86,0.85,2.26%
CHD,Church & Dwight Company,22730448000,32.71,2.81,615900000,0.39,0.96,1.04%
CL,Colgate-Palmolive Company,67468808000,27.08,2.93,2367000000,0.59,1.76,2.24%
CLX,Clorox Company,26799084000,28.73,7.35,939000000,0.27,4.44,2.09%
COST,Costco Wholesale,1.63568E+11,42.33,8.85,4002000000,0.69,2.8,0.76%
CPB,Campbell Soup Company,14596666000,16.4,2.96,1628000000,0.48,1.4,2.90%
EL,Estee Lauder Companies,83768096000,57.37,4.1,684000000,0.78,1.92,0.83%
GIS,General Mills,37279144000,16.17,3.82,2181200000,0.6,2.04,3.35%
HRL,Hormel Foods Corp,26683616000,29.01,1.71,978810000,0,0.93,1.88%
HSY,Hershey Foods Corp,29996772000,25.1,5.83,1149690000,0.21,3.22,2.23%
K,Kellogg Company,22529778000,16.01,4.17,960000000,0.63,2.28,3.47%
KHC,Kraft Heinz Company,37386464000,11.24,2.79,1935000000,1.04,1.6,5.23%
KMB,Kimberly-Clark Corp,46153192000,17.64,7.76,2157000000,0.5,4.28,3.15%
KO,Coca-Cola Company,2.14012E+11,26.31,1.92,8920000000,0.55,1.64,3.29%
KR,Kroger Company,25676618000,10.96,2.99,1659000000,0.35,0.72,2.17%
LW,Lamb Weston Holdings Inc,9920321000,31.08,2.32,365900000,0.71,0.92,1.36%
MDLZ,Mondelez Intl Inc,78887112000,22.03,2.57,3870000000,0.61,1.26,2.28%
MKC,Mccormick & Company Inc,25889932000,34.53,5.69,702700000,0.43,2.48,1.28%
MNST,Monster Beverage Cp,41585172000,37.74,2.13,1107840000,1.04,0,0.00%
MO,Altria Group,71678368000,9.13,4.28,-1293000000,0.51,3.44,8.92%
PEP,Pepsico Inc,1.90793E+11,25.37,5.5,7314000000,0.57,4.09,2.96%
PG,Procter & Gamble Company,3.50368E+11,26.46,5.38,13027000000,0.43,3.16,2.24%
PM,Philip Morris International Inc,1.14694E+11,14.48,5.14,7185000000,0.78,4.8,6.52%
SJM,J.M. Smucker Company,13129916000,12.1,9.55,779500000,0.24,3.6,3.13%
STZ,Constellation Brands Inc,33909188000,19.38,9.26,-11800000,1.75,3,1.71%
SYY,Sysco Corp,30952852000,32.56,1.99,215480000,1.2,1.8,2.96%
TAP,Molson Coors Brewing Company,7557798000,8.11,4.4,241700000,0.97,0,0.00%
TSN,Tyson Foods,20972900000,11.91,5.04,2022000000,0.65,1.68,2.92%
WBA,Walgreens Boots Alliance,32220736000,8.03,4.74,456000000,0.44,1.87,5.03%
WMT,Wal-Mart Stores,4.02846E+11,27.24,5.28,14881000000,0.27,2.16,1.52%
