Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
STZ,Constellation Brands Inc,172.16,-2.81,-1.61%,174.54,177.3,172.13,841313,10/27/2020
SYY,Sysco Corp,58.34,-2.46,-4.05%,60.59,61.15,58.33,3537514,10/27/2020
KHC,Kraft Heinz Company,30.68,0.1,0.33%,30.68,30.92,30.51,5877535,10/27/2020
MNST,Monster Beverage Cp,80.39,1.54,1.95%,79.79,81.08,79.33,1905702,10/27/2020
TAP,Molson Coors Brewing Company,33.81,-1.07,-3.07%,34.53,34.74,33.76,1960575,10/27/2020
ADM,Archer Daniels Midland,50.36,-0.83,-1.62%,51.01,51.24,50.36,2780749,10/27/2020
CAG,Conagra Brands Inc,36.96,-0.59,-1.57%,37.54,37.7,36.94,2694640,10/27/2020
EL,Estee Lauder Companies,231.05,-1.12,-0.48%,233.52,233.52,230.35,967563,10/27/2020
PM,Philip Morris International Inc,71.33,-2.32,-3.15%,73.35,73.53,71.19,5250021,10/27/2020
BF.B,Brown Forman Inc Cl B,72.29,-0.47,-0.65%,73.02,73.24,72.11,616502,10/27/2020
LW,Lamb Weston Holdings Inc,66.23,-1.56,-2.30%,67.68,68.11,66.17,749185,10/27/2020
COST,Costco Wholesale,372.72,2.01,0.54%,368.77,374.91,368.77,1518575,10/27/2020
TSN,Tyson Foods,57.67,0.21,0.37%,57.74,58.88,57.65,1840909,10/27/2020
K,Kellogg Company,64.93,-0.77,-1.17%,65.47,65.96,64.89,1500158,10/27/2020
MDLZ,Mondelez Intl Inc,55.01,-0.22,-0.40%,55.13,55.76,54.93,4400986,10/27/2020
GIS,General Mills,61.12,0.14,0.23%,60.89,61.71,60.81,2305363,10/27/2020
CL,Colgate-Palmolive Company,78.85,0.16,0.20%,79.22,79.64,78.79,2828531,10/27/2020
PEP,Pepsico Inc,139.12,1.06,0.77%,138.57,139.89,138.3,3363870,10/27/2020
KO,Coca-Cola Company,49.9,0.1,0.20%,49.81,50.28,49.55,13192992,10/27/2020
MO,Altria Group,37.17,-1.4,-3.63%,38.43,38.57,37.15,9604638,10/27/2020
KMB,Kimberly-Clark Corp,134.76,-0.93,-0.69%,136.6,137.83,134.76,1851823,10/27/2020
CPB,Campbell Soup Company,48.24,-0.05,-0.10%,48.24,48.98,47.97,1677392,10/27/2020
WBA,Walgreens Boots Alliance,36,-1.21,-3.25%,37,37.29,35.92,5649599,10/27/2020
PG,Procter & Gamble Company,142.36,1.06,0.75%,141.94,143.34,141.65,6783124,10/27/2020
MKC,Mccormick & Company Inc,192.21,-1.85,-0.95%,194.5,195.28,192.04,506432,10/27/2020
CHD,Church & Dwight Company,92.23,0.32,0.35%,92.26,93.22,91.71,1217796,10/27/2020
KR,Kroger Company,32.34,-0.82,-2.47%,32.66,33.11,32.28,8710241,10/27/2020
CLX,Clorox Company,214.18,1.45,0.68%,214.67,217.63,214.02,1312869,10/27/2020
WMT,Wal-Mart Stores,142.87,0.71,0.50%,142.05,143.7,141.97,3937454,10/27/2020
SJM,J.M. Smucker Company,113.1,-2,-1.74%,115.21,115.91,113.03,748169,10/27/2020
HSY,Hershey Foods Corp,142.5,-1.7,-1.18%,144.62,144.87,142.36,817710,10/27/2020
HRL,Hormel Foods Corp,50.23,0.78,1.58%,49.57,50.45,49.45,1918757,10/27/2020
