Symbol,Name,Last,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High
ADM,Archer Daniels Midland,50.36,100% Buy,61.43%,19.35%,2725317,28.92,52.05
BF.B,Brown Forman Inc Cl B,72.29,56% Buy,39.53%,15.95%,754655,44.68,83.4
CAG,Conagra Brands Inc,36.96,88% Buy,50.72%,17.28%,2763632,22.83,39.34
CHD,Church & Dwight Company,92.23,40% Buy,49.84%,17.62%,1363515,47.98,98.96
CL,Colgate-Palmolive Company,78.85,88% Buy,52.87%,13.21%,2953727,58.49,80.99
CLX,Clorox Company,214.18,8% Buy,49.56%,16.99%,1121013,144.31,239.87
COST,Costco Wholesale,372.72,100% Buy,60.12%,14.67%,1950379,271.28,384.87
CPB,Campbell Soup Company,48.24,88% Sell,48.75%,12.48%,1803020,40.7,57.54
EL,Estee Lauder Companies,231.05,100% Buy,61.25%,19.96%,862863,137.01,235.84
GIS,General Mills,61.12,8% Buy,48.58%,18.25%,2970378,46.59,66.14
HRL,Hormel Foods Corp,50.23,64% Buy,52.48%,15.88%,1640128,39.01,52.97
HSY,Hershey Foods Corp,142.5,48% Buy,45.74%,16.19%,607245,109.88,161.83
K,Kellogg Company,64.93,40% Sell,44.60%,12.87%,1429968,52.66,72.88
KHC,Kraft Heinz Company,30.68,24% Sell,43.50%,19.75%,5285602,19.99,36.37
KMB,Kimberly-Clark Corp,134.76,24% Sell,28.71%,28.34%,1790751,110.66,160.16
KO,Coca-Cola Company,49.9,72% Buy,51.44%,14.63%,12809760,36.27,60.13
KR,Kroger Company,32.34,24% Sell,38.83%,18.98%,7032407,24.09,37.22
LW,Lamb Weston Holdings Inc,66.23,8% Buy,45.27%,33.25%,1066994,39.06,96.32
MDLZ,Mondelez Intl Inc,55.01,24% Buy,40.72%,18.44%,5183694,41.19,59.96
MKC,Mccormick & Company Inc,192.21,40% Buy,45.37%,17.62%,436222,112.22,211.07
MNST,Monster Beverage Cp,80.39,40% Buy,50.15%,21.76%,2307045,50.06,87.05
MO,Altria Group,37.17,88% Sell,34.14%,21.33%,6612287,30.95,51.78
PEP,Pepsico Inc,139.12,88% Buy,52.12%,17.53%,4111374,101.42,147.2
PG,Procter & Gamble Company,142.36,100% Buy,57.21%,12.43%,5758396,94.34,145.87
PM,Philip Morris International Inc,71.33,40% Sell,35.93%,32.02%,4599871,56.01,90.17
SJM,J.M. Smucker Company,113.1,56% Buy,44.94%,16.20%,660463,91.88,125.62
STZ,Constellation Brands Inc,172.16,8% Sell,36.59%,19.39%,963446,104.28,208.55
SYY,Sysco Corp,58.34,8% Buy,39.81%,37.24%,2261336,26,85.98
TAP,Molson Coors Brewing Company,33.81,100% Sell,42.59%,29.98%,2168404,32.11,61.94
TSN,Tyson Foods,57.67,88% Sell,42.80%,23.97%,2008795,42.57,94.24
WBA,Walgreens Boots Alliance,36,88% Sell,45.02%,29.91%,6365895,33.88,64.5
WMT,Wal-Mart Stores,142.87,88% Buy,55.03%,17.30%,6187232,102,151.33
